Farm;Description;Country;Environment;Datacenter;Altiris_ns;Altiris_local
vcpod-acy;Philadelphia ;International;Production;Atlantic City;172.26.17.212;172.23.46.233
VCPODCA4-P2;Toronto Kamloops RGS;International;Production;Canada Kamloops;172.26.17.212;172.23.32.233
vcpodca5-p2;Toronto Kamloops RGS DR;International;Production;Canada Kamloops;172.26.17.212;172.23.38.233
vcpodgib-rgs;RGS Gibilterra;International;Production;Gibilterra;172.26.17.212;172.23.36.233
vcpodmad-np1;Pod Produzione Madrid;International;Production;Madrid;172.26.17.212;10.201.156.116
vcpodmlt-np1;Pod Produzione Malta;International;Production;Malta;172.26.17.212;172.23.48.233
vcpodmt-rgs;Malta RGS;International;Production;Malta;172.26.17.212;172.23.48.233
vcl8prod-dr;Lotto DR Milano;Italy;Production;Milano Rozzano;172.26.17.212;172.26.71.116
vcpod-dmzmi;DMZ Milano;Italy;Production;Milano Rozzano;172.26.17.212;172.26.71.116
vcpodcorpmi;Corporate Milano;Italy;Production;Milano Rozzano;172.26.17.212;172.26.71.116
VCPODCS;Nuovo CENTRO SERVIZI;Italy;Production;Milano Rozzano;172.26.17.212;172.26.71.116
vcpoddrmi;Rozzano Disaster Recovery;Italy;Production;Milano Rozzano;172.26.17.212;172.26.71.116
VCPODGEVDR;Gratta e Vinci DR;Italy;Production;Milano Rozzano;172.26.17.212;172.26.71.116
VCPODGEVPREP;Gratta e Vinci Preproduzione;Italy;NO-Production;Milano Rozzano;172.26.17.212;172.26.71.116
vcpoditzmi-p1;International ITZ-MI;International;Production;Milano Rozzano;172.26.17.212;172.26.71.116
vcpodcspp.preprod.local;PreProduzione Centro servizi Milano;Italy;NO-Production;Milano Rozzano;172.26.17.212;172.26.71.116
vcpodimel;IMEL CartaLis Production Milano;Italy;Production;Milano Staro;172.26.17.212;172.26.71.116
vcpodnccmi;NCC Milano;Italy;Production;Milano Staro;172.26.17.212;172.26.71.116
vcpodppimel;IMEL CartaLis Prestazionale Milano;Italy;NO-Production;Milano Staro;172.26.17.212;172.26.71.116
vcpodlnz;Nuova Zelanda;International;Production;Nuova Zelanda;172.26.17.212;172.26.71.116
dr-imelvcenter1;DR IMEL CartaLis Production Roma;Italy;Production;Roma Campo Boario;172.26.17.212;172.26.17.213
